,10,50,100,500,1000
S,0.0,0.0,0.0,0.0,0.0
SE,0.021062573817739905,0.006961554113512736,0.004394511439434701,0.0011611767347832203,0.0006027498172045398
I,0.41424882521544015,0.3879338504520048,0.35875197150096894,0.3058853210032063,0.28255040408681287
IE,0.41717198554803026,0.3967173544140923,0.3697790130198686,0.3186038536206738,0.29461475960506867
IS,0.20010597464491564,0.18035187521117835,0.17022119254027002,0.1577249491883177,0.15171579014860104
ISE,0.2958325969084433,0.2712837349170456,0.2540376912700789,0.23030087513520037,0.21660021607271196
IDE,0.45181844994147924,0.3932447955153616,0.3584979335162096,0.2932179061694187,0.27256741736266066
ID,0.38081326909165647,0.3489808178033752,0.3212825154655419,0.27339108728685657,0.25524918574484645
IDS,0.1993416245235754,0.18020403465108636,0.17012687947279503,0.15765942395406896,0.15163193387663365
IDSE,0.3128809435840847,0.2779295016114641,0.25865844070086563,0.23322129946256287,0.21896971716501423
