,10,50,100,500,1000
S,0.0,0.0,0.0,0.0,0.0
SE,0.01957092121550552,0.006281635679588837,0.0035403497146369034,0.0010196000190926258,0.0004103917385327449
I,0.29306828901569026,0.28309042617963454,0.283021186061452,0.2443479752104144,0.2186181310199683
IE,0.3111988048116153,0.30378482320814937,0.3057958515370416,0.26282133800996044,0.2348734936045701
IS,0.10369740099605573,0.0972397394463117,0.10010685820809517,0.09657345545765594,0.08959726654965727
ISE,0.2064182399698966,0.20002273705152862,0.20598732867336123,0.18181062000846315,0.16199643982120515
