,S-node-span,SSE-added-span,SSE-added-wrong,SS-node-span,SSE-node-span
18240,1176470.0,318483.0,28244.0,20267.0,338750.0
18241,176844.0,125303.0,0.0,38035.0,163338.0
18242,690939.0,255711.0,0.0,80266.0,335977.0
18243,251461.0,81146.0,0.0,148772.0,229918.0
18244,418944.0,86611.0,0.0,332333.0,418944.0
18245,1114292.0,663511.0,0.0,450781.0,1114292.0
18246,420843.0,287892.0,0.0,85240.0,373132.0
18247,1147754.0,537024.0,0.0,235121.0,772145.0
18248,136060.0,131171.0,69124.0,74013.0,205184.0
18249,880455.0,353314.0,15212.0,258716.0,612030.0
18250,983470.0,612179.0,0.0,134629.0,746808.0
18251,517901.0,317730.0,0.0,200171.0,517901.0
18252,936376.0,562563.0,3503.0,377316.0,939879.0
18253,1672351.0,764233.0,0.0,646836.0,1411069.0
18254,2314935.0,560916.0,0.0,560356.0,1121272.0
18255,755569.0,384194.0,0.0,29906.0,414100.0
18256,1337082.0,481838.0,0.0,446878.0,928716.0
18257,1280955.0,594228.0,16133.0,702860.0,1297088.0
18258,1554283.0,329171.0,0.0,30030.0,359201.0
18259,1967369.0,1075157.0,0.0,104674.0,1179831.0
18260,366673.0,237444.0,0.0,129229.0,366673.0
18261,691180.0,189340.0,0.0,90142.0,279482.0
18262,1881339.0,176747.0,0.0,690337.0,867084.0
18263,655795.0,59659.0,0.0,388062.0,447721.0
18264,670994.0,276395.0,0.0,310554.0,586949.0
18265,802821.0,197535.0,0.0,457193.0,654728.0
