,10,50,100,500,1000
S,0.4093819865254472,0.42180028605100706,0.4440454884453187,0.5484478376594084,0.6212838737239178
SE,0.6252773916969159,0.6800339476146483,0.7095950472567222,0.8226427041892722,0.8718671267703031
I,0.34678369683651394,0.35120079757660755,0.3644008187395652,0.45951897367975353,0.5283795994236277
IE,0.34820440138678826,0.3534355988861658,0.36579481601656844,0.46085855187139796,0.530202902569819
IS,0.32091286769915617,0.32094020955700797,0.3373960864343256,0.4262538067662898,0.4928104050185141
ISE,0.33523209121408887,0.33822368616068327,0.35190845246884245,0.44477984201193965,0.5128737082783938
