,1e6,5e6,1e7,3e7,5e7
S-v-SS,0.9549822832279052,0.8717991945003952,0.7934873384621594,0.6854882585162032,0.6281513691659434
S-v-SSE,0.9931194164103506,0.9768175452883159,0.9514250438931753,0.9037596772125244,0.8704721458514431
S-v-I,0.6377096230290661,0.7471705372582905,0.7670476293410544,0.772141320333267,0.746481033770063
S-v-IS,0.6107353527401271,0.6648165496909325,0.6500206687945034,0.5866118124825423,0.5457795528318882
S-v-ISE,0.6268125852690045,0.7081070117517582,0.7121520652129653,0.6734957538987902,0.6343444327455027
