,1e6,5e6,1e7,3e7,5e7
S,0.0,0.0,0.0,0.0,0.0
SE,0.0004559206709963126,0.0002664762644623009,0.0005143445399777846,0.0005005363912630179,0.0006324432388785661
I,0.056100256529717174,0.1263870160106424,0.1537060867971547,0.20317286741042717,0.21968073497070828
IE,0.06008483886988314,0.13934257821480667,0.16598030261932228,0.21812261685640189,0.23656027240747068
IS,0.028894442457853664,0.05639027629546922,0.07015758941990846,0.08537180237044428,0.08855012371470727
ISE,0.04173604042804113,0.08961205984136233,0.116139264554868,0.1560142695588207,0.16562419276917495
