,1e6,5e6,1e7,3e7,5e7
S,0.9549822832279052,0.8717991945003952,0.7934873384621594,0.6854882585162032,0.6281513691659434
SE,0.9924391196525792,0.9765463799861211,0.950677624854118,0.9033410351627645,0.8698834485928066
I,0.6118174907113824,0.6640509451869107,0.6516634084281827,0.5804109125681501,0.5323598592493795
IE,0.6117548566258042,0.6641412707340019,0.6526173068415773,0.5820166292911579,0.5342304370800196
IS,0.60428565171191,0.6451714911713333,0.6208026182641426,0.5445474674989892,0.49837974893286724
ISE,0.6105534172719218,0.6594892081369452,0.6413714526097619,0.5671635224385716,0.5177478067713146
